starship_id,created,edited,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,pilots,films
1,"2014-12-10 14:20:33","2014-12-20 21:23:49","CR90 corvette","CR90 corvette","Corellian Engineering Corporation",3500000,150,950,30-165,600,3000000,"1 year",2,60,0,[],"[1,3,6]"
2,"2014-12-10 15:08:19","2014-12-20 21:23:49","Star Destroyer","Imperial I-class Star Destroyer","Kuat Drive Yards",150000000,1600,975,"47,060",0,36000000,"2 years",2,60,0,[],"[1,2,3]"
3,"2014-12-10 15:48:00","2014-12-20 21:23:49","Sentinel-class landing craft","Sentinel-class landing craft","Sienar Fleet Systems, Cyngus Spaceworks",240000,38,1000,5,75,180000,"1 month",1,70,0,[],[1]
4,"2014-12-10 16:36:50","2014-12-20 21:26:24","Death Star","DS-1 Orbital Battle Station","Imperial Department of Military Research, Sienar Fleet Systems",1000000000000,120000,0,"342,953",843342,1000000000000,"3 years",4,10,0,[],[1]
5,"2014-12-10 16:59:45","2014-12-20 21:23:49","Millennium Falcon","YT-1300 light freighter","Corellian Engineering Corporation",100000,34,1050,4,6,100000,"2 months",0.5,75,0,"[13,14,25,31]","[1,2,3]"
6,"2014-12-12 11:00:39","2014-12-20 21:23:49",Y-wing,"BTL Y-wing","Koensayr Manufacturing",134999,14,1000,2,0,110,"1 week",1,80,0,[],"[1,2,3]"
7,"2014-12-12 11:19:05","2014-12-20 21:23:49",X-wing,"T-65 X-wing","Incom Corporation",149999,12,1050,1,0,110,"1 week",1,100,0,"[1,9,18,19]","[1,2,3]"
8,"2014-12-12 11:21:32","2014-12-20 21:23:49","TIE Advanced x1","Twin Ion Engine Advanced x1","Sienar Fleet Systems",0,9,1200,1,0,150,"5 days",1,105,0,[4],[1]
9,"2014-12-15 12:31:42","2014-12-20 21:23:49",Executor,"Executor-class star dreadnought","Kuat Drive Yards, Fondor Shipyards",1143350000,19000,0,"279,144",38000,250000000,"6 years",2,40,0,[],"[2,3]"
10,"2014-12-15 12:34:52","2014-12-20 21:23:49","Rebel transport","GR-75 medium transport","Gallofree Yards, Inc.",0,90,650,6,90,19000000,"6 months",4,20,0,[],"[2,3]"
