planet_id,created,edited,name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,residents,films
1,"2014-12-09 13:50:49","2014-12-20 20:58:18",Tatooine,23,304,10465,arid,"1 standard",desert,1,200000,"[1,2,4,6,7,8,9,11,43,62,84,85,86,87,88]","[1,3,4,5,6]"
2,"2014-12-10 11:35:48","2014-12-20 20:58:18",Alderaan,24,364,12500,temperate,"1 standard","grasslands, mountains",,2000000000,"[5,68,81]","[1,6]"
3,"2014-12-10 11:37:19","2014-12-20 20:58:18","Yavin IV",24,4818,10200,"temperate, tropical","1 standard","jungle, rainforests",,1000,[],[1]
4,"2014-12-10 11:39:13","2014-12-20 20:58:18",Hoth,23,549,7200,frozen,"1.1 standard","tundra, ice caves, mountain ranges",,0,[],[2]
5,"2014-12-10 11:42:22","2014-12-20 20:58:18",Dagobah,23,341,8900,murky,N/A,"swamp, jungles",,0,[],"[2,3,6]"
6,"2014-12-10 11:43:55","2014-12-20 20:58:18",Bespin,12,5110,118000,temperate,"1.5 (surface), 1 standard (Cloud City)","gas giant",,6000000,[26],[2]
7,"2014-12-10 11:50:29","2014-12-20 20:58:18",Endor,18,402,4900,temperate,"0.85 standard","forests, mountains, lakes",,30000000,[30],[3]
8,"2014-12-10 11:52:31","2014-12-20 20:58:18",Naboo,26,312,12120,temperate,"1 standard","grassy hills, swamps, forests, mountains",,4500000000,"[3,21,35,36,37,38,39,42,60,61,66]","[3,4,5,6]"
9,"2014-12-10 11:54:13","2014-12-20 20:58:18",Coruscant,24,368,12240,temperate,"1 standard","cityscape, mountains",,1000000000000,"[34,55,74]","[3,4,5,6]"
10,"2014-12-10 12:45:06","2014-12-20 20:58:18",Kamino,27,463,19720,temperate,"1 standard",ocean,,1000000000,"[22,72,73]",[5]
